USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
NC	37121	01008571	Mitchell County	573036225	1632150	221.251	0.63	36.013102	-82.163554                                                                                                                   
NC	37123	01008572	Montgomery County	1273075626	25886753	491.537	9.995	35.327548	-79.910752                                                                                                              
NC	37125	01008573	Moore County	1806983006	20712954	697.68	7.997	35.308272	-79.492725                                                                                                                    
NC	37127	01008574	Nash County	1399742831	6174819	540.444	2.384	35.965945	-77.987555                                                                                                                     
NC	37129	01026329	New Hanover County	497937486	353803887	192.255	136.604	34.183445	-77.864204                                                                                                           
NC	37131	01008575	Northampton County	1390032558	35891384	536.695	13.858	36.421774	-77.398352                                                                                                            
NC	37133	01026341	Onslow County	1973765096	370675285	762.075	143.119	34.763109	-77.499469                                                                                                               
NC	37135	01008576	Orange County	1029673918	8806896	397.559	3.4	36.062526	-79.120034                                                                                                                     
NC	37137	01023355	Pamlico County	871570771	583036551	336.515	225.112	35.147575	-76.665268                                                                                                               
NC	37139	01026330	Pasquotank County	587622471	161739148	226.882	62.448	36.265199	-76.260691                                                                                                             
NC	37141	01026129	Pender County	2256645359	162833419	871.296	62.87	34.512556	-77.888106                                                                                                                 
NC	37143	01025841	Perquimans County	640173980	211755191	247.173	81.759	36.180897	-76.403244                                                                                                             
NC	37145	01008577	Person County	1016154887	31205409	392.34	12.048	36.38635	-78.965623                                                                                                                   
NC	37147	01008578	Pitt County	1689621009	8246941	652.366	3.184	35.59249	-77.372739                                                                                                                      
NC	37149	01008579	Polk County	615606322	1964035	237.687	0.758	35.277901	-82.167621                                                                                                                      
NC	37151	01008580	Randolph County	2026242785	19753287	782.337	7.627	35.709915	-79.806215                                                                                                                
NC	37153	01008581	Richmond County	1226849523	15575098	473.689	6.014	35.004636	-79.755695                                                                                                                
NC	37155	01026130	Robeson County	2453481924	5076395	947.295	1.96	34.63921	-79.100881                                                                                                                    
NC	37157	01008582	Rockingham County	1465005024	18436435	565.642	7.118	36.381806	-79.782754                                                                                                              
NC	37159	01008583	Rowan County	1325058763	31968195	511.608	12.343	35.641355	-80.521721                                                                                                                  
NC	37161	01008584	Rutherford County	1464476090	4692959	565.437	1.812	35.402747	-81.919582                                                                                                               
NC	37163	01026131	Sampson County	2449946536	4923828	945.93	1.901	34.989298	-78.371261                                                                                                                   
NC	37165	01008585	Scotland County	826569986	3842049	319.14	1.483	34.840023	-79.477337                                                                                                                   
NC	37167	01025844	Stanly County	1023250040	25187035	395.079	9.725	35.310449	-80.254374                                                                                                                  
NC	37169	01008586	Stokes County	1163797562	17578802	449.345	6.787	36.393797	-80.269921                                                                                                                  
NC	37171	01008587	Surry County	1379543658	10390865	532.645	4.012	36.415416	-80.686463                                                                                                                   
NC	37173	01008588	Swain County	1366810476	32416167	527.728	12.516	35.568849	-83.465614                                                                                                                  
NC	37175	01008589	Transylvania County	979943597	5091023	378.358	1.966	35.210103	-82.816666                                                                                                              
NC	37177	01026332	Tyrrell County	1012106669	534571696	390.777	206.399	35.87042	-76.165345                                                                                                               
NC	37179	01008590	Union County	1638778990	17891392	632.736	6.908	34.99182	-80.530426                                                                                                                    
NC	37181	01008591	Vance County	653701481	42190675	252.396	16.29	36.365481	-78.405434                                                                                                                    
NC	37183	01008592	Wake County	2161570492	58082284	834.587	22.426	35.789846	-78.650624                                                                                                                   
NC	37185	01008593	Warren County	1112117461	38615564	429.391	14.91	36.398105	-78.099899                                                                                                                  
NC	37187	01026331	Washington County	897456201	195282199	346.51	75.399	35.844713	-76.572291                                                                                                              
NC	37189	01008594	Watauga County	809210954	2275614	312.438	0.879	36.235368	-81.709888                                                                                                                   
NC	37191	01026128	Wayne County	1434651139	9842326	553.922	3.8	35.35419	-78.00867                                                                                                                        
NC	37193	01008595	Wilkes County	1952020337	6854041	753.679	2.646	36.208883	-81.166095                                                                                                                   
NC	37195	01008596	Wilson County	952013027	14332439	367.574	5.534	35.700357	-77.921598                                                                                                                   
NC	37197	01008597	Yadkin County	867496112	7176192	334.942	2.771	36.158765	-80.665164                                                                                                                    
NC	37199	01008598	Yancey County	809610024	1524558	312.592	0.589	35.889326	-82.303954                                                                                                                    
